################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.1159362522968797E-01 a       335     0    23     1     5
  1.1563952054609716E-01 a       336     0    23     1     6
  4.5439265229143166E-01 a       337     0    23     1     7
 -3.2197511807437135E-01 a       338     0    23     1     8
 -5.8746909257119444E-02 a       339     0    23     1     9
 -4.1369805831083079E-01 a       340     0    23     1    10
 -1.6601976742323088E-01 a       341     0    23     1    11
  3.5607263111780202E-01 a       342     0    23     1    12
  1.6292534371886658E-01 a       343     0    23     1    13
  1.4661549295137546E-01 a       344     0    23     1    14
  2.4209999374824548E-01 a       345     0    23     1    15
 -2.1049017947951176E-02 a       346     0    24     1     1
  2.5716561299203061E-02 a       347     0    24     1     2
  1.1070094853872649E-01 a       348     0    24     1     3
 -3.4532486512882093E-01 a       349     0    24     1     4
 -3.7327227064053001E-03 a       350     0    24     1     5
  5.0037082403272526E-01 a       351     0    24     1     6
  1.9066769897585417E-01 a       352     0    24     1     7
  7.4080878917501924E-01 a       353     0    24     1     8
  5.5527936316730064E-01 a       354     0    24     1     9
 -2.2415085616900124E-01 a       355     0    24     1    10
  2.8925652687770094E-02 a       356     0    24     1    11
 -2.4731654908671746E-01 a       357     0    24     1    12
  1.3744378145220235E-01 a       358     0    24     1    13
 -2.0222495871318519E-01 a       359     0    24     1    14
  1.4126523298243387E-01 a       360     0    24     1    15
 -9.2188730141260396E-03 a       361     0    25     1     1
  1.5779643952428705E-02 a       362     0    25     1     2
 -2.3623241013968507E-01 a       363     0    25     1     3
  6.5974529762942283E-02 a       364     0    25     1     4
 -7.9607648677736648E-02 a       365     0    25     1     5
 -3.6061981950525546E-01 a       366     0    25     1     6
  1.7778069666912125E-01 a       367     0    25     1     7
 -2.0820382241827379E-01 a       368     0    25     1     8
 -1.9685507474309044E-01 a       369     0    25     1     9
  1.0067964176710402E-02 a       370     0    25     1    10
  2.7345819015123668E-01 a       371     0    25     1    11
