################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.2175344248104918E-01 a       422     1     1     2     2
 -6.3041685699841621E-01 a       423     1     1     2     3
 -7.7219610793388749E-01 a       424     1     1     2     4
 -5.2820656803859678E-01 a       425     1     1     2     5
  1.9309813923385472E-01 a       426     1     1     2     6
  3.2034402332154649E-01 a       427     1     1     2     7
 -7.2215908177255539E-02 a       428     1     1     2     8
 -3.0120566489463713E-01 a       429     1     1     2     9
 -4.3100711310197920E-01 a       430     1     1     2    10
  6.8764454935544472E-01 a       431     1     1     2    11
  6.0711369018353178E-01 a       432     1     1     2    12
  1.4337927400562178E-01 a       433     1     1     2    13
  1.6234061816771743E+00 a       434     1     1     2    14
  1.3002871438583927E-01 a       435     1     1     2    15
  8.3252350201245259E-02 a       436     1     2     2     1
  1.0401602925296105E+00 a       437     1     2     2     2
  2.4910502236587195E+00 a       438     1     2     2     3
 -1.2838988113465521E+00 a       439     1     2     2     4
 -3.0307373858524111E-01 a       440     1     2     2     5
  1.1582154149973267E-01 a       441     1     2     2     6
 -1.1860224338109451E+00 a       442     1     2     2     7
  1.1180233307384739E+00 a       443     1     2     2     8
 -3.0122345154864233E-01 a       444     1     2     2     9
 -4.3532446025364424E-01 a       445     1     2     2    10
  1.5375766478955682E-01 a       446     1     2     2    11
 -4.5496423254621321E-01 a       447     1     2     2    12
  4.5955349806704077E-01 a       448     1     2     2    13
 -5.7279733620903972E-01 a       449     1     2     2    14
 -9.1660723488752205E-01 a       450     1     2     2    15
  1.5374169310365773E-01 a       451     1     3     2     1
 -5.8346111927804603E-02 a       452     1     3     2     2
  1.0088873834812486E+00 a       453     1     3     2     3
 -3.2350258087543687E-01 a       454     1     3     2     4
 -1.1010473627395818E+00 a       455     1     3     2     5
  4.0547226355620536E-01 a       456     1     3     2     6
 -1.7711552799739814E+00 a       457     1     3     2     7
 -3.0038421250617453E-01 a       458     1     3     2     8
 -9.8661307944190235E-01 a       459     1     3     2     9
 -3.3345972854021250E-01 a       460     1     3     2    10
  1.4368516135567928E+00 a       461     1     3     2    11
 -1.1871387011400859E-01 a       462     1     3     2    12
 -1.6345577299665925E-01 a       463     1     3     2    13
 -2.8188854104154809E-01 a       464     1     3     2    14
  1.7703862924061444E+00 a       465     1     3     2    15
  8.4711954394374300E-01 a       466     1     4     2     1
 -5.3225896663287842E-01 a       467     1     4     2     2
 -1.3519400035935993E+00 a       468     1     4     2     3
 -9.5416363962182638E-01 a       469     1     4     2     4
 -1.2829233237476481E-01 a       470     1     4     2     5
 -1.0275451997234211E+00 a       471     1     4     2     6
 -2.4801966005696570E+00 a       472     1     4     2     7
  1.0085329839892743E+00 a       473     1     4     2     8
  3.2239871670690490E-01 a       474     1     4     2     9
  3.9885891109603433E-01 a       475     1     4     2    10
  1.9127107156732323E-01 a       476     1     4     2    11
 -3.3625484495518754E-01 a       477     1     4     2    12
 -2.2092533771238954E-01 a       478     1     4     2    13
  6.6692376732127823E-01 a       479     1     4     2    14
 -5.9280929629796508E-01 a       480     1     4     2    15
  4.0661331981047899E-01 a       481     1     5     2     1
  1.5934106116617961E+00 a       482     1     5     2     2
  9.5017377455299301E-01 a       483     1     5     2     3
  3.2545640263251345E-02 a       484     1     5     2     4
  9.9175710451657240E-01 a       485     1     5     2     5
  4.8309872385706304E-01 a       486     1     5     2     6
 -8.0060891048209837E-01 a       487     1     5     2     7
 -7.2629062506224018E-01 a       488     1     5     2     8
  5.3618275827998219E-02 a       489     1     5     2     9
 -3.3920564781704410E-01 a       490     1     5     2    10
  1.7662661789850804E+00 a       491     1     5     2    11
 -7.3737146932106049E-02 a       492     1     5     2    12
 -1.0775940361522387E+00 a       493     1     5     2    13
 -3.8940742412322382E-01 a       494     1     5     2    14
 -1.5017771175459199E-01 a       495     1     5     2    15
 -1.7329698286608225E-01 a       496     1     6     2     1
  6.1953565661529639E-02 a       497     1     6     2     2
 -1.9431035280206408E+00 a       498     1     6     2     3
 -4.7677993170173866E-01 a       499     1     6     2     4
 -4.6762058616449365E-01 a       500     1     6     2     5
 -7.7654753333289117E-01 a       501     1     6     2     6
 -6.5160554588739883E-01 a       502     1     6     2     7
  6.4128075622764610E-03 a       503     1     6     2     8
  1.6432972237836407E+00 a       504     1     6     2     9
 -1.2015938886772928E+00 a       505     1     6     2    10
  6.4320450040992272E-01 a       506     1     6     2    11
 -4.4111451374792510E-01 a       507     1     6     2    12
 -1.0825877857776937E-01 a       508     1     6     2    13
  5.9398032996231165E-01 a       509     1     6     2    14
 -1.9065119843808268E-01 a       510     1     6     2    15
 -1.6407909607362461E+00 a       511     1     7     2     1
 -1.6536784378681249E-01 a       512     1     7     2     2
 -1.7375546432095106E+00 a       513     1     7     2     3
 -1.7368911160431308E-01 a       514     1     7     2     4
  1.8009701855143778E+00 a       515     1     7     2     5
  9.6376490546512961E-01 a       516     1     7     2     6
 -1.7302917638417237E+00 a       517     1     7     2     7
  3.7087883347997153E-01 a       518     1     7     2     8
 -2.1770369560766074E+00 a       519     1     7     2     9
 -1.2927587016407949E+00 a       520     1     7     2    10
  1.0207709513281495E-01 a       521     1     7     2    11
  4.3328305494777880E-01 a       522     1     7     2    12
 -2.2787196335532348E-01 a       523     1     7     2    13
